ID,BioDare_ID,Offset,Condition,p_28,p_tidal,power_28,power_tidal,p_24_BD2,p_35_BD2,Group
102822_left_com1,1,LD66,cycle,0.004997501,0.038730635,0.2083,0.17104,0.197825522,0.000286,LD66_cycle
102822_left_com2,2,LD66,cycle,0.001249375,0.197817758,0.24355,0.096496,0.00039,0.000617,LD66_cycle
102822_left_com3,3,LD66,cycle,0.022782726,0.003123438,0.13839,0.26822,0.318691813,0.007090838,LD66_cycle
102822_left_com4,4,LD66,cycle,0.001249375,0.003123438,0.26574,0.22655,0.419945801,3.25E-05,LD66_cycle
102822_left_com5,5,LD66,cycle,0.059585592,0.259016833,0.11243,0.083668,0.387100674,0.000708,LD66_cycle
102822_left_com6,6,LD66,cycle,0.032126794,0.83908046,0.14303,0.030129,0.197825522,0.07498925,LD66_cycle
102822_right_com1,7,LD66,cycle,0.125505429,0.003123438,0.08881,0.44468,0.086817465,0.000371,LD66_cycle
102822_right_com2,8,LD66,cycle,0.001249375,0.017299043,0.29411,0.20268,0.00013,3.25E-05,LD66_cycle
102822_right_com3,9,LD66,cycle,0.001249375,0.011357957,0.22099,0.20471,0.285881586,0.014603187,LD66_cycle
102822_right_com4,10,LD66,cycle,0.001249375,0.197817758,0.26111,0.097994,0.086817465,3.25E-05,LD66_cycle
102822_right_com5,11,LD66,cycle,0.003569644,0.038730635,0.20904,0.16697,0.002946637,0.004263957,LD66_cycle
102822_right_com6,12,LD66,cycle,0.001249375,0.019633041,0.22121,0.18694,0.086817465,3.25E-05,LD66_cycle
111022_left_com1,27,TC66,cycle,0.052001027,0.003123438,0.11712,0.46607,0.377372226,0.003557611,TC66_cycle
111022_left_com2,28,TC66,cycle,0.098165203,0.530463935,0.093883,0.052619,0.281127189,3.00E-05,TC66_cycle
111022_left_com3,29,TC66,cycle,0.004997501,0.178816842,0.18102,0.10287,0.027462583,7.20E-05,TC66_cycle
111022_left_com4,30,TC66,cycle,0.001249375,0.27997365,0.42757,0.079025,0.00012,3.00E-05,TC66_cycle
111022_left_com5,31,TC66,cycle,0.090808254,0.169742715,0.10246,0.10851,0.308171036,3.00E-05,TC66_cycle
111022_left_com6,32,TC66,cycle,0.001249375,0.160105133,0.47791,0.10555,0.005459945,3.00E-05,TC66_cycle
111022_right_com1,33,TC66,cycle,0.384703482,0.038730635,0.050437,0.1464,0.660671654,0.896571034,TC66_cycle
111022_right_com2,34,TC66,cycle,0.006478242,0.188542093,0.18119,0.099966,0.006719933,0.007023088,TC66_cycle
111022_right_com3,35,TC66,cycle,0.021083208,0.003123438,0.14872,0.33308,0.014719853,0.000314,TC66_cycle
111022_right_com4,36,TC66,cycle,0.001249375,0.007496252,0.39083,0.2073,0.001439986,3.00E-05,TC66_cycle
111022_right_com5,37,TC66,cycle,0.006478242,0.178816842,0.19251,0.10215,0.738302617,2.00E-04,TC66_cycle
111022_right_com6,38,TC66,cycle,0.196097603,0.003123438,0.072677,0.44342,0.037889621,0.000608,TC66_cycle
111522_left_com1,39,TC66,cycle,0.123775322,0.271887866,0.086808,0.081313,0.070515658,0.008639914,TC66_cycle
111522_left_com2,40,TC66,cycle,0.001249375,0.003123438,0.30051,0.26545,0.00012,3.00E-05,TC66_cycle
111522_left_com4,41,TC66,cycle,0.05852337,0.259016833,0.10995,0.085519,0.13481008,0.881886833,TC66_cycle
111522_left_com5,42,TC66,cycle,0.001249375,0.444990271,0.19063,0.058669,0.128778712,3.00E-05,TC66_cycle
111522_left_com6,43,TC66,cycle,0.585931524,0.191815857,0.035798,0.096989,0.352089812,0.573517901,TC66_cycle
111522_right_com1,44,TC66,cycle,0.001249375,0.240011573,0.23795,0.087102,0.13481008,0.00063,TC66_cycle
111522_right_com2,45,TC66,cycle,0.004997501,0.048785131,0.21067,0.14801,0.14900651,0.00048,TC66_cycle
111522_right_com3,46,TC66,cycle,0.25147001,0.030866919,0.066511,0.16538,0.660671654,0.190055242,TC66_cycle
111522_right_com4,47,TC66,cycle,0.013386164,0.003123438,0.15613,0.30754,0.039386273,3.00E-05,TC66_cycle
111522_right_com5,48,TC66,cycle,0.016371125,0.178816842,0.15913,0.10171,0.487343698,5.33E-05,TC66_cycle
111522_right_com6,49,TC66,cycle,0.085582209,0.014576045,0.096272,0.20201,0.070515658,0.006693266,TC66_cycle
LD66_cycle_mean,13,LD66,cycle_mean,0.021958718,0.007496252,0.148,0.23086,0.393061903,0.000371,LD66_cycle_mean
TC66_cycle_mean,50,TC66,cycle_mean,0.18934977,0.444990271,0.072477,0.058968,0.354223826,0.000109,TC66_cycle_mean
