"","ID","BioDare_ID","Offset","Condition","p_28","p_tidal","power_28","power_tidal","p_24_BD2","p_35_BD2","MFF_period_28","MFF_period_34","MFF_phase_28","MFF_phase_34","FFT_period","FFT_phase","FFT_error","Group"
"1","021720_consleft_com1",25,"Big","constant",0.000930569198159541,0.233240522595845,0.48686,0.12884,2.749972500275e-05,1.5714128573e-05,23.74,23.74,23.91,23.91,23.94,23.48,0.43,"Big_constant"
"2","021720_consleft_com2",26,"Big","constant",0.0664720271443226,0.0755622188905547,0.11215,0.17066,0.746606533934661,0.035509644903551,28,29.28,4.77,3.39,61.24,17.86,0.31,"Big_constant"
"3","021720_consleft_com3",27,"Big","constant",0.00791604197901049,0.776866885706083,0.17325,0.043731,0.746606533934661,0.00193873061269387,28,30.74,14.92,12.03,511,14.14,0.68,"Big_constant"
"4","021720_consleft_com4",28,"Big","constant",0.000930569198159541,0.78686972303322,0.22766,0.040962,0.740086349136509,1.5714128573e-05,27.96,32.88,5.75,21.17,37.65,15.38,0.41,"Big_constant"
"5","021720_consleft_com5",29,"Big","constant",0.000930569198159541,0.776866885706083,0.42629,0.043556,2.749972500275e-05,1.5714128573e-05,28,32.2,21.63,16.59,21.19,8.92,0.49,"Big_constant"
"6","021720_consleft_com6",30,"Big","constant",0.0320072521878596,0.534005724410522,0.13954,0.072849,0.051212345019407,0.0047959520404796,25.92,34,6.21,1.74,25.8,6.38,0.37,"Big_constant"
"7","021720_consright_com1",31,"Big","constant",0.000930569198159541,0.300026457359556,0.39184,0.10838,6.59993400065999e-05,1.5714128573e-05,21.5,21.5,5.77,5.77,22.74,3.73,0.48,"Big_constant"
"8","021720_consright_com2",32,"Big","constant",0.000930569198159541,0.254975960295714,0.39767,0.11575,2.749972500275e-05,1.5714128573e-05,22.74,22.74,0.11,0.11,22.16,1.8,0.47,"Big_constant"
"9","021720_consright_com4",33,"Big","constant",0.0545596766833974,0.134932533733133,0.10119,0.12088,0.94720052799472,0.00216331170021633,27.92,29.24,6.54,5.34,48.16,19.61,0.66,"Big_constant"
"10","021720_consright_com5",34,"Big","constant",0.000930569198159541,0.63400299850075,0.57839,0.063647,2.749972500275e-05,1.5714128573e-05,25.14,25.14,1.37,1.37,26.72,23.22,0.34,"Big_constant"
"11","021720_consright_com6",35,"Big","constant",0.000930569198159541,0.0299850074962519,0.26337,0.21015,0.000238330950023833,1.5714128573e-05,23.32,23.32,14.73,14.73,21.71,18.65,0.68,"Big_constant"
"12","022620_consleft_com1",36,"Big","constant",0.000930569198159541,0.415399443135575,0.26235,0.082788,0.0575994240057599,0.000939990600093999,23.54,23.54,3.9,3.9,20.85,7.97,0.45,"Big_constant"
"13","022620_consleft_com2",37,"Big","constant",0.00539730134932534,0.806784107946027,0.21072,0.040001,0.00575994240057599,2.9999700003e-05,23.24,34,4.1,18.76,23.24,4.1,0.47,"Big_constant"
"14","022620_consleft_com3",38,"Big","constant",0.0320072521878596,0.372413793103448,0.13008,0.090629,0.953630463695363,0.0578594214057859,28,28.12,14.88,14.7,61.97,6.33,0.28,"Big_constant"
"15","022620_consleft_com4",39,"Big","constant",0.000930569198159541,0.60064253587492,0.27732,0.063702,0.001139988600114,0.0365516344836552,24.8,24.8,21.16,21.16,25.38,20.28,0.37,"Big_constant"
"16","022620_consleft_com5",40,"Big","constant",0.0133180163165171,0.0732490897408439,0.1459,0.15706,0.0811641883581164,0.00799492005079949,22,34,23.99,5.72,53.49,19.07,0.47,"Big_constant"
"17","022620_consleft_com6",41,"Big","constant",0.0145311959404913,0.31070951010981,0.15426,0.10645,0.0839031609683903,2.9999700003e-05,27.7,30.94,18.01,14.27,34.63,11.44,0.56,"Big_constant"
"18","082620_left_com1",66,"Small","cycle",0.000930569198159541,0.231004497751124,0.30059,0.13152,0.0151948480515195,1.49998500015e-05,20,18,19.34,23.61,17.75,0.24,0.48,"Small_cycle"
"19","082620_left_com2",67,"Small","cycle",0.0292624771951374,0.700348620870288,0.14972,0.054696,0.0309476905230948,0.024549754502455,20,34,23.51,13.94,38.9,10.85,0.32,"Small_cycle"
"20","082620_left_com3",68,"Small","cycle",0.000930569198159541,0.227625317775895,0.58571,0.13324,1.9999800002e-05,1.49998500015e-05,25.04,25.04,12.29,12.29,24.41,13.45,0.35,"Small_cycle"
"21","082620_left_com4",69,"Small","cycle",0.000930569198159541,0.372413793103448,0.53714,0.095506,1.9999800002e-05,1.49998500015e-05,21.92,21.92,18.16,18.16,21.57,18.73,0.28,"Small_cycle"
"22","082620_left_com5",70,"Small","cycle",0.000930569198159541,0.710849120894098,0.38698,0.052721,1.9999800002e-05,1.49998500015e-05,23.38,23.38,15.69,15.69,23.86,14.73,0.31,"Small_cycle"
"23","082620_left_com6",71,"Small","cycle",0.000930569198159541,0.520333583208396,0.2155,0.076647,0.454125458745412,0.00838791612083879,20,18.58,1.02,5.09,17.71,8.05,0.3,"Small_cycle"
"24","091120_left_com1",85,"Small","constant",0.000930569198159541,0.0299850074962519,0.23268,0.24154,0.030469695303047,0.000835991640083599,26.96,26.96,23.51,23.51,281.6,3.53,1,"Small_constant"
"25","091120_left_com2",86,"Small","constant",0.0328801116683038,0.372413793103448,0.12709,0.096102,0.0425475745242548,5.49994500055e-05,23.04,31.8,5.15,22.44,15.82,13.99,0.37,"Small_constant"
"26","091120_left_com3",87,"Small","constant",0.0209145427286357,0.710849120894098,0.14354,0.049859,0.25441174159687,0.125508744912551,28,31.82,9.95,6.31,368.5,14.7,1,"Small_constant"
"27","091120_left_com5",88,"Small","constant",0.330584707646177,0.372413793103448,0.059037,0.09143,0.947290527094729,0.00030249697503025,28,33.7,18.63,13.7,48.37,7.29,0.31,"Small_constant"
"28","091120_left_com6",89,"Small","constant",0.0320072521878596,0.0134932533733133,0.13939,0.28762,0.0609210574560921,0.000219997800022,27.92,28.12,18.35,18.13,11.04,14.37,0.54,"Small_constant"
"29","091120_right_com1",90,"Small","constant",0.00539730134932534,0.0584707646176911,0.17117,0.17106,0.030469695303047,0.0575156748432516,23.08,23.08,6.17,6.17,24.24,3.75,0.63,"Small_constant"
"30","091120_right_com2",91,"Small","constant",0.00402783682785473,0.776381040249106,0.19288,0.044808,0.734660653393466,0.641150588494115,28,33.54,1.05,22.28,48.01,16.24,0.43,"Small_constant"
"31","091120_right_com3",92,"Small","constant",0.22700414498633,0.607011562711795,0.068574,0.065138,0.352742028135274,0.951180488195118,23.44,34,5.88,21.74,24.04,4.78,0.62,"Small_constant"
"32","091120_right_com4",93,"Small","constant",0.560606489208226,0.153823088455772,0.038945,0.14823,0.298042019579804,0.005468516743404,24.08,28.5,12.21,4.95,49.36,6.06,0.53,"Small_constant"
"33","091120_right_com5",94,"Small","constant",0.000930569198159541,0.887148658680369,0.37983,0.030406,0.000109998900011,5.49994500055e-05,21.52,21.52,20.3,20.3,20.97,21.15,0.4,"Small_constant"
"34","091120_right_com6",95,"Small","constant",0.00402783682785473,0.700348620870288,0.17999,0.054586,0.000769992300076999,0.00267663990026766,20,18.9,21.5,23.78,20.89,19.77,0.46,"Small_constant"
"35","092320_left_com1",53,"Big","constant",0.0680284857571214,0.919558912132719,0.10617,0.02263,0.0845408212584541,0.220604936807775,22.94,22.94,18.51,18.51,22.41,19.47,0.74,"Big_constant"
"36","092320_left_com2",54,"Big","constant",0.926036981509245,0.327989851228232,0.01266,0.096258,0.974630253697463,0.1769982300177,22.14,33.38,21.9,19.66,56.83,14.75,0.52,"Big_constant"
"37","092320_left_com3",55,"Big","constant",0.906443974274545,0.60064253587492,0.014845,0.063088,0.417208327916721,0.996740032599674,27.8,32.12,3.33,17.75,56.25,20.75,0.21,"Big_constant"
"38","092320_left_com4",56,"Big","constant",0.000930569198159541,0.700348620870288,0.43696,0.052842,2.77775000027778e-05,2.49997500025e-05,24.4,24.4,16.49,16.49,23.7,17.5,0.41,"Big_constant"
"39","092320_left_com5",57,"Big","constant",0.000930569198159541,0.0134932533733133,0.24464,0.28219,2.77775000027778e-05,5.76917307749999e-05,24.96,24.96,20.83,20.83,28.59,16.49,0.37,"Big_constant"
"40","092320_left_com6",58,"Big","constant",0.165774255729278,0.415399443135575,0.076712,0.07979,0.266438512085467,0.0117915487511792,23.4,31.28,23.57,6.31,57.7,8.09,0.4,"Big_constant"
"41","092320_right_com1",59,"Big","constant",0.000930569198159541,0.0910794602698651,0.23453,0.16655,0.0845408212584541,0.000933324000093332,20.66,20.66,5.75,5.75,21.76,2.58,0.81,"Big_constant"
"42","092320_right_com2",60,"Big","constant",0.00261159742709291,0.520333583208396,0.211,0.06961,0.257153678463215,4.54540909136363e-05,27.98,30.88,5.51,1.58,67.12,16,0.38,"Big_constant"
"43","092320_right_com3",61,"Big","constant",0.000930569198159541,0.451326061107377,0.39656,0.079188,0.384773930038477,2.49997500025e-05,20.26,20.26,3.29,3.29,18.58,7.52,0.22,"Big_constant"
"44","092320_right_com4",62,"Big","constant",0.00261159742709291,0.942028985507246,0.17911,0.019474,0.257153678463215,0.421166242883026,21.86,21.86,23.97,23.97,22.97,21.6,0.23,"Big_constant"
"45","092320_right_com5",63,"Big","constant",0.0591406424447351,0.233240522595845,0.10767,0.12148,0.390022415565318,2.49997500025e-05,28,32.64,23.76,19.58,15.2,5.04,0.42,"Big_constant"
"46","092320_right_com6",64,"Big","constant",0.417905333047762,0.534005724410522,0.048121,0.066516,0.749221674449922,0.999040009599904,25.12,34,4.9,0.11,52.91,14.92,0.21,"Big_constant"
"47","093120_left_com1",72,"Small","cycle",0.00665420714300384,0.156778753480403,0.17801,0.13662,0.575363293986108,0.00231247687523125,28,29.22,12.13,10.49,54.5,9.87,0.46,"Small_cycle"
"48","093120_left_com2",73,"Small","cycle",0.000930569198159541,0.776866885706083,0.37695,0.041024,2.77775000027778e-05,2.49997500025e-05,25.42,25.42,17.53,17.53,25.25,17.83,0.37,"Small_cycle"
"49","093120_left_com3",74,"Small","cycle",0.0219890054972514,0.346776611694153,0.14189,0.097791,0.649123943543173,0.0001428557143,28,18.52,19.89,23.7,16.28,4.04,0.53,"Small_cycle"
"50","093120_left_com4",75,"Small","cycle",0.000930569198159541,0.464521837441935,0.29784,0.076653,0.0001749982500175,5.76917307749999e-05,25.44,25.44,15.9,15.9,24.8,16.81,0.38,"Small_cycle"
"51","093120_left_com5",76,"Small","cycle",0.000930569198159541,0.188905547226387,0.4855,0.13215,2.77775000027778e-05,2.49997500025e-05,22.36,22.36,20.73,20.73,22.14,21.12,0.36,"Small_cycle"
"52","093120_left_com6",77,"Small","cycle",0.0349597928308573,0.700348620870288,0.11963,0.051458,0.0929606088554499,0.0455258605308684,20.16,18.82,8.44,13.67,55.26,0.46,0.6,"Small_cycle"
"53","093120_right_com1",78,"Small","cycle",0.000930569198159541,0.832039425831639,0.30349,0.033598,2.77775000027778e-05,2.49997500025e-05,25.02,25.02,12.21,12.21,22.48,18.61,0.53,"Small_cycle"
"54","093120_right_com2",79,"Small","cycle",0.0461769115442279,0.595314283156929,0.11711,0.063792,0.257153678463215,0.47819087026521,27.54,33.94,17,8.58,46.57,23.05,0.43,"Small_cycle"
"55","093120_right_com3",80,"Small","cycle",0.000930569198159541,0.372413793103448,0.46309,0.088474,2.77775000027778e-05,2.49997500025e-05,26,26,17.67,17.67,25.28,19.06,0.34,"Small_cycle"
"56","093120_right_com4",81,"Small","cycle",0.222908545727136,0.464521837441935,0.067861,0.072691,0.639220880518468,0.00770580529488823,20.9,31.38,11.01,9,74.71,3.33,0.45,"Small_cycle"
"57","093120_right_com5",82,"Small","cycle",0.000930569198159541,0.775412293853073,0.32639,0.043006,2.77775000027778e-05,2.49997500025e-05,24.66,24.66,17.69,17.69,25.54,16.84,0.43,"Small_cycle"
"58","093120_right_com6",83,"Small","cycle",0.000930569198159541,0.832039425831639,0.5515,0.03371,2.77775000027778e-05,2.49997500025e-05,25.64,25.64,17.95,17.95,25.61,18.01,0.32,"Small_cycle"
"59","1003_cycle_com1",1,"Big","cycle",0.000930569198159541,0.0584707646176911,0.56754,0.17464,2.3749762502375e-05,1.58331750015833e-05,22.94,22.94,16.7,16.7,23.05,16.49,0.25,"Big_cycle"
"60","1003_cycle_com2",2,"Big","cycle",0.000930569198159541,0.0299850074962519,0.46388,0.22735,2.3749762502375e-05,1.58331750015833e-05,23.62,23.62,17.59,17.59,24.16,16.66,0.28,"Big_cycle"
