Gene	Symbol	Name	Annotation	Interpro_Pfam	GO
NVEC200_000001_1.1	MFSD6	Major facilitator superfamily domain-containing protein 6	Major facilitator superfamily domain-containing protein 6 (Sus scrofa OX%3D9823)	"InterPro:IPR024989,Pfam:PF12832"	
NVEC200_000002_1.1	MGAT5	"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase"	Alpha-1%2C6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Homo sapiens OX%3D9606)	"InterPro:IPR026116,Pfam:PF15024"	"GO:0006487,GO:0030144"
NVEC200_000003_1.1	Cbr1	Carbonyl reductase [NADPH] 1	Carbonyl reductase [NADPH] 1 (Mus musculus OX%3D10090)	"InterPro:IPR002347,InterPro:IPR018881,Pfam:PF00106,Pfam:PF10561,Pfam:PF13561"	
NVEC200_000004_1.1	ache	Carboxylic ester hydrolase	Acetylcholinesterase (Tetronarce californica OX%3D7787)	"InterPro:IPR002018,Pfam:PF00135"	
NVEC200_000005_1.1	MAN2B1	Lysosomal alpha-mannosidase (Macaca fascicularis OX%3D9541)	Lysosomal alpha-mannosidase (Macaca fascicularis OX%3D9541)	"InterPro:IPR000602,InterPro:IPR011682,InterPro:IPR015341,InterPro:IPR041147,Pfam:PF01074,Pfam:PF07748,Pfam:PF09261,Pfam:PF17677"	"GO:0004559,GO:0006013"
NVEC200_000006_1.1	ACLY	ATP-citrate synthase	ATP-citrate synthase (Bos taurus OX%3D9913)	"InterPro:IPR002020,InterPro:IPR003781,InterPro:IPR005811,InterPro:IPR013650,InterPro:IPR032263,Pfam:PF00285,Pfam:PF00549,Pfam:PF02629,Pfam:PF08442,Pfam:PF16114"	"GO:0003824,GO:0046912"
NVEC200_000007_1.1		NVEC200_000007_1.1	MatK_0 protein	"InterPro:IPR032751,Pfam:PF15993"	
NVEC200_000008_1.1	TBXT	T-box transcription factor T	T-box transcription factor T homolog 1 (Branchiostoma floridae OX%3D7739)	"InterPro:IPR001699,Pfam:PF00907"	"GO:0003700,GO:0005634,GO:0006355"
NVEC200_000009_1.1		NVEC200_000009_1.1	Unknown protein		
NVEC200_000010_1.1	Kmt2c	Histone-lysine N-methyltransferase 2C	Histone-lysine N-methyltransferase 2C (Mus musculus OX%3D10090)	s	"GO:0005515,GO:0005634"
NVEC200_000011_1.1	SMAD4	Mothers against decapentaplegic homolog	Mothers against decapentaplegic homolog 4 (Homo sapiens OX%3D9606)	"InterPro:IPR003619,Pfam:PF03165,Pfam:PF13832"	GO:0006355
NVEC200_000012_1.1	Map2	Microtubule-associated protein 2	Microtubule-associated protein 2 (Rattus norvegicus OX%3D10116)	"InterPro:IPR001084,Pfam:PF00418"	GO:0015631
NVEC200_000013_1.1		NVEC200_000013_1.1	Unknown protein		
NVEC200_000014_1.1		NVEC200_000014_1.1	RING-type domain-containing protein		
NVEC200_000015_1.1	wdsub1	"WD repeat,SAM and U-box domain-containing protein 1"	WD repeat%2C SAM and U-box domain-containing protein 1 (Danio rerio OX%3D7955)	"InterPro:IPR001660,InterPro:IPR001680,InterPro:IPR003613,Pfam:PF00400,Pfam:PF00536,Pfam:PF04564"	"GO:0004842,GO:0005515,GO:0016567"
NVEC200_000016_1.1	Hmcn1	Hemicentin-1 (Mus musculus OX%3D10090)	Hemicentin-1 (Mus musculus OX%3D10090)	"InterPro:IPR001881,InterPro:IPR024731,Pfam:PF07645,Pfam:PF12947"	GO:0005509
NVEC200_000017_1.1	v1g211400	Cyclic GMP-AMP synthase	Cyclic GMP-AMP synthase (Nematostella vectensis OX%3D45351)	"InterPro:IPR024810,Pfam:PF03281"	
NVEC200_000018_1.1		NVEC200_000018_1.1	Unknown protein		
NVEC200_000019_1.1		NVEC200_000019_1.1	Collagen alpha-1(XIV) chain		
NVEC200_000020_1.1	Hmox2	Heme oxygenase 1	Heme oxygenase 2 (Rattus norvegicus OX%3D10116)	"InterPro:IPR016053,Pfam:PF01126"	"GO:0004392,GO:0006788,GO:0055114"
NVEC200_000021_1.1	Avl9	AVL9 cell migration associated	Late secretory pathway protein AVL9 homolog (Mus musculus OX%3D10090)	"InterPro:IPR018307,Pfam:PF09794"	
NVEC200_000022_1.1	MTHFS	5-formyltetrahydrofolate cyclo-ligase	5-formyltetrahydrofolate cyclo-ligase (Homo sapiens OX%3D9606)	"InterPro:IPR002698,Pfam:PF01812"	
NVEC200_000023_1.1	swt-1	Sugar transporter SWEET	Sugar transporter SWEET1 (Caenorhabditis briggsae OX%3D6238)	"InterPro:IPR004316,Pfam:PF03083"	GO:0016021
NVEC200_000024_1.1	Cnbd2	Cyclic nucleotide-binding domain-containing protein	Cyclic nucleotide-binding domain-containing protein 2 (Mus musculus OX%3D10090)	"InterPro:IPR000595,Pfam:PF00027"	
NVEC200_000025_1.1	Npy4r	G_PROTEIN_RECEP_F1_2 domain-containing protein	Neuropeptide Y receptor type 4 (Mus musculus OX%3D10090)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_000026_1.1	PRELID1	PRELI/MSF1 domain-containing protein	PRELI domain-containing protein 1%2C mitochondrial (Bos taurus OX%3D9913)	"InterPro:IPR006797,Pfam:PF04707"	
NVEC200_000027_1.1	Acsf2	"acyl-CoA synthetase family member 2,mitochondrial"	Medium-chain acyl-CoA ligase ACSF2%2C mitochondrial (Rattus norvegicus OX%3D10116)	"InterPro:IPR000873,InterPro:IPR025110,Pfam:PF00501,Pfam:PF13193"	GO:0003824
NVEC200_000028_1.1	NPHP3	Nephrocystin-3 (Homo sapiens OX%3D9606)	Nephrocystin-3 (Homo sapiens OX%3D9606)	Pfam:PF13424	
NVEC200_000029_1.1		NVEC200_000029_1.1	Unknown protein		
NVEC200_000030_1.1	HTR4	G_PROTEIN_RECEP_F1_2 domain-containing protein	5-hydroxytryptamine receptor 4 (Homo sapiens OX%3D9606)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_000031_1.1	slr1101	Universal stress protein Rv2026c	Universal stress protein Slr1101 (Synechocystis sp. (strain PCC 6803 / Kazusa) OX%3D1111708)	"InterPro:IPR006016,Pfam:PF00582"	
NVEC200_000032_1.1	Snx13	Sorting nexin-13	Sorting nexin-13 (Mus musculus OX%3D10090)	"InterPro:IPR001683,InterPro:IPR003114,InterPro:IPR013937,InterPro:IPR016137,Pfam:PF00615,Pfam:PF00787,Pfam:PF02194,Pfam:PF08628"	GO:0035091
NVEC200_000033_1.1	MINPP1	Unknown protein	Multiple inositol polyphosphate phosphatase 1 (Gallus gallus OX%3D9031)	"InterPro:IPR000560,Pfam:PF00328"	
NVEC200_000034_1.1	Dazap2	DAZ associated protein 2	DAZ-associated protein 2 (Mus musculus OX%3D10090)	"InterPro:IPR022730,Pfam:PF11029"	
NVEC200_000035_1.1	CKB	Creatine kinase B-type	Creatine kinase B-type (Canis lupus familiaris OX%3D9615)	"InterPro:IPR022413,InterPro:IPR022414,Pfam:PF00217,Pfam:PF02807"	"GO:0016301,GO:0016772"
NVEC200_000036_1.1	CENPF	Unknown protein	Centromere protein F (Homo sapiens OX%3D9606)	"InterPro:IPR018302,Pfam:PF10490"	
NVEC200_000037_1.1	STX17	Syntaxin-17 (Homo sapiens OX%3D9606)			
NVEC200_000038_1.1	COL6A5	Unknown protein	Collagen alpha-5(VI) chain (Homo sapiens OX%3D9606)		
NVEC200_000039_1.1	Nek10	Serine/threonine-protein kinase Nek10	Serine/threonine-protein kinase Nek10 (Mus musculus OX%3D10090)		
NVEC200_000040_1.1		NVEC200_000040_1.1	Unknown protein		
NVEC200_000041_1.1	P4HA2	Prolyl 4-hydroxylase subunit alpha-2	Prolyl 4-hydroxylase subunit alpha-2 (Homo sapiens OX%3D9606)	"InterPro:IPR005123,InterPro:IPR013547,Pfam:PF08336,Pfam:PF13640"	"GO:0004656,GO:0005783,GO:0016491,GO:0016702,GO:0055114"
NVEC200_000042_1.1	GLB1	Beta-galactosidase (Felis catus OX%3D9685)	Beta-galactosidase (Felis catus OX%3D9685)	"InterPro:IPR031330,Pfam:PF01301"	
NVEC200_000043_1.1	YAE1	Unknown protein	Protein YAE1 (Saccharomyces cerevisiae (strain YJM789) OX%3D307796)	"InterPro:IPR019191,Pfam:PF09811"	
NVEC200_000044_1.1	cdk12	Cyclin-dependent kinase 12	Cyclin-dependent kinase 12 (Xenopus tropicalis OX%3D8364)	"InterPro:IPR000719,Pfam:PF00069"	"GO:0004672,GO:0005524,GO:0006468"
NVEC200_000045_1.1	MLX	MAX dimerization protein MLX	Max-like protein X (Homo sapiens OX%3D9606)	"InterPro:IPR011598,Pfam:PF00010"	GO:0046983
NVEC200_000046_1.1	NLGN4Y	Carboxylic ester hydrolase	Neuroligin-4%2C Y-linked (Homo sapiens OX%3D9606)	"InterPro:IPR002018,Pfam:PF00135"	
NVEC200_000047_1.1		NVEC200_000047_1.1	Unknown protein		
NVEC200_000048_1.1	SMARCD1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (Homo sapiens OX%3D9606)	"InterPro:IPR003121,Pfam:PF02201"	GO:0005515
NVEC200_000049_1.1		NVEC200_000049_1.1	Collagen alpha-1(XVII) chain		
NVEC200_000050_1.1	CCDC93	Coiled-coil domain-containing protein 93	Coiled-coil domain-containing protein 93 (Gallus gallus OX%3D9031)	"InterPro:IPR019159,Pfam:PF09762"	
NVEC200_000051_1.1	ptf1a	Mesoderm posterior protein 2	Pancreas transcription factor 1 subunit alpha (Xenopus laevis OX%3D8355)	"InterPro:IPR011598,Pfam:PF00010"	GO:0046983
NVEC200_000052_1.1	Ugt1a2	UDP-glucuronosyltransferase 1-2 (Mus musculus OX%3D10090)	UDP-glucuronosyltransferase 1-2 (Mus musculus OX%3D10090)	"InterPro:IPR002213,Pfam:PF00201"	GO:0008194
NVEC200_000053_1.1	Dnajc1	DnaJ-like subfamily C member 1	DnaJ homolog subfamily C member 1 (Mus musculus OX%3D10090)	"InterPro:IPR001623,Pfam:PF00226"	
NVEC200_000054_1.1	EGF1	Fibropellin-1 (Strongylocentrotus purpuratus OX%3D7668)	Fibropellin-1 (Strongylocentrotus purpuratus OX%3D7668)	"InterPro:IPR000742,InterPro:IPR002049,InterPro:IPR013032,Pfam:PF00008,Pfam:PF00053,Pfam:PF12661"	
NVEC200_000055_1.1	itgb1-b	Integrin beta	Integrin beta-1-B (Xenopus laevis OX%3D8355)	"InterPro:IPR002369,InterPro:IPR033760,InterPro:IPR040622,Pfam:PF00362,Pfam:PF17205,Pfam:PF18372"	
NVEC200_000056_1.1	SPART	Spartin (Bos taurus OX%3D9913)	Spartin (Bos taurus OX%3D9913)	"InterPro:IPR009686,Pfam:PF06911"	
NVEC200_000057_1.1	w	ATP-binding cassette sub-family G member	Protein white (Drosophila melanogaster OX%3D7227)	"InterPro:IPR003439,InterPro:IPR013525,Pfam:PF00005,Pfam:PF01061,Pfam:PF19055"	"GO:0005524,GO:0016020,GO:0016887"
NVEC200_000058_1.1	PSME3	Proteasome activator complex subunit 3	Proteasome activator complex subunit 3 (Gallus gallus OX%3D9031)	"InterPro:IPR003185,InterPro:IPR003186,Pfam:PF02251,Pfam:PF02252"	GO:0008537
NVEC200_000059_1.1	Plpp2	acidPPc domain-containing protein	Phospholipid phosphatase 2 (Rattus norvegicus OX%3D10116)	"InterPro:IPR000326,Pfam:PF01569"	
NVEC200_000060_1.1	d14	5-hydroxytryptamine receptor 4	D(1)-like dopamine receptor (Takifugu rubripes OX%3D31033)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
NVEC200_000061_1.1		NVEC200_000061_1.1	Unknown protein		
NVEC200_000062_1.1	melC2	Tyrosinase_Cu-bd domain-containing protein	Tyrosinase (Streptomyces lincolnensis OX%3D1915)	"InterPro:IPR002227,Pfam:PF00264"	GO:0016491
NVEC200_000063_1.1		NVEC200_000063_1.1	Integrase catalytic domain-containing protein		
NVEC200_000064_1.1		NVEC200_000064_1.1	Unknown protein		
NVEC200_000065_1.1		NVEC200_000065_1.1	G_PROTEIN_RECEP_F1_2 domain-containing protein		
NVEC200_000066_1.1	Ccdc13	Coiled-coil domain-containing protein 13	Coiled-coil domain-containing protein 13 (Mus musculus OX%3D10090)		
NVEC200_000067_1.1	nek8	Serine/threonine-protein kinase Nek8	Serine/threonine-protein kinase Nek8 (Danio rerio OX%3D7955)	"InterPro:IPR000408,InterPro:IPR000719,Pfam:PF00069,Pfam:PF00415"	"GO:0004672,GO:0005524,GO:0006468"
NVEC200_000068_1.1	EXD3	3'-5' exonuclease domain-containing protein	Exonuclease mut-7 homolog (Homo sapiens OX%3D9606)	"InterPro:IPR002562,InterPro:IPR002782,Pfam:PF01612,Pfam:PF01927"	"GO:0003676,GO:0006139,GO:0008408"
NVEC200_000069.1			Insulin-like growth factor 2 mRNA-binding protein 2 (Pongo abelii OX%3D9601)	"InterPro:IPR004088,Pfam:PF00013"	GO:0003723
NVEC200_000069_1.1	IGF2BP2	Insulin-like growth factor 2 mRNA-binding protein 1	Insulin-like growth factor 2 mRNA-binding protein 2 (Pongo abelii OX%3D9601)	"InterPro:IPR004088,Pfam:PF00013"	GO:0003723
NVEC200_000070_1.1	Vps8	vacuolar protein sorting-associated protein 8 homolog	Vacuolar protein sorting-associated protein 8 homolog (Mus musculus OX%3D10090)	"InterPro:IPR025941,Pfam:PF12816"	
NVEC200_000071_1.1	SIX4	SIX4/5-SINE class homeobox protein	Homeobox protein SIX4 (Homo sapiens OX%3D9606)	"InterPro:IPR001356,InterPro:IPR031701,Pfam:PF00046,Pfam:PF16878"	GO:0003677
NVEC200_000072_1.1	Galnt1	Polypeptide N-acetylgalactosaminyltransferase	Polypeptide N-acetylgalactosaminyltransferase 1 (Mus musculus OX%3D10090)	"InterPro:IPR000772,InterPro:IPR001173,Pfam:PF00535,Pfam:PF00652"	
NVEC200_000073_1.1	RYa-R	G_PROTEIN_RECEP_F1_2 domain-containing protein	RYamide receptor (Tribolium castaneum OX%3D7070)	"InterPro:IPR017452,Pfam:PF00001"	GO:0016021
